trade_index,candle,price_indexed,fee_bps,fee_ab_bps,fee_ba_bps
220,826,1.109455718079342,326.0,30.0,30.0
221,827,1.113568846383553,363.0,30.0,30.0
222,828,1.11063503116692,331.0,30.0,30.0
223,829,1.1102212778022238,329.0,30.0,30.0
224,830,1.1135930807269085,362.0,30.0,30.0
225,831,1.1085981823540032,321.0,30.0,30.0
226,832,1.1077096916319313,316.0,30.0,30.0
227,833,1.1070248737795956,313.0,30.0,30.0
228,885,1.1068508647603945,312.0,30.0,30.0
229,895,1.10729982280538,314.0,30.0,30.0
230,896,1.1070264967252765,312.0,30.0,30.0
231,897,1.1068380287178652,311.0,30.0,30.0
232,898,1.1114728245246808,334.0,30.0,30.0
233,899,1.1119630811772325,336.0,30.0,30.0
234,903,1.1088062871071682,320.0,30.0,30.0
235,904,1.1076313502092778,314.0,30.0,30.0
236,906,1.1074766561611167,313.0,30.0,30.0
237,907,1.1112170856089618,332.0,30.0,30.0
238,908,1.1076349360060203,314.0,30.0,30.0
239,909,1.1076944678461107,314.0,30.0,30.0
240,944,1.1085031057206869,318.0,30.0,30.0
241,945,1.1074241497952453,312.0,30.0,30.0
242,948,1.1089730973451621,320.0,30.0,30.0
243,949,1.1111448587771031,330.0,30.0,30.0
244,950,1.11073114386708,328.0,30.0,30.0
245,951,1.110306628925785,326.0,30.0,30.0
246,952,1.111216274311412,330.0,30.0,30.0
247,953,1.1092918523032882,321.0,30.0,30.0
248,957,1.1093544195940972,321.0,30.0,30.0
249,958,1.1088240367374353,318.0,30.0,30.0
250,1093,1.1089079085676186,318.0,30.0,30.0
251,1094,1.1080134572004503,314.0,30.0,30.0
252,1095,1.1090248956849715,319.0,30.0,30.0
253,1096,1.1102851571302945,325.0,30.0,30.0
254,1097,1.1158866118536133,369.0,30.0,30.0
255,1098,1.114766609874636,363.0,30.0,30.0
256,1099,1.1149378538821733,364.0,30.0,30.0
257,1100,1.1140848007890356,359.0,30.0,30.0
258,1101,1.1154417932357832,366.0,30.0,30.0
259,1102,1.115505011767248,366.0,30.0,30.0
260,1103,1.1198132948677155,387.0,30.0,30.0
261,1104,1.1166569155640114,371.0,30.0,30.0
262,1105,1.1260669762692683,418.0,30.0,30.0
263,1106,1.1316780498613341,446.0,30.0,30.0
264,1107,1.1370290896476536,473.0,30.0,30.0
265,1108,1.1368184203904508,472.0,30.0,30.0
266,1109,1.133344441692934,454.0,30.0,30.0
267,1110,1.137634513735882,475.0,30.0,30.0
268,1111,1.1414521476797344,1000.0,30.0,30.0
269,1112,1.1450274507214675,1000.0,30.0,30.0
270,1113,1.1480777998032068,1000.0,30.0,30.0
271,1114,1.1511702908541208,1000.0,30.0,30.0
272,1115,1.1508429220920025,484.0,30.0,30.0
273,1116,1.1508426079611664,484.0,30.0,30.0
274,1117,1.1514327686709527,486.0,30.0,30.0
275,1118,1.149347451189051,476.0,30.0,30.0
276,1121,1.150015257914531,479.0,30.0,30.0
277,1122,1.149949405921626,479.0,30.0,30.0
278,1123,1.1463373349761894,460.0,30.0,30.0
