kappa,policy,gas_price_wei,median,ci_low,ci_high,n_windows
0.1,MEVChargeHook,80000000000,10.839520242755555,-299.3480171538886,418.00393843085976,48
0.3,VolatilityHook,5000000000,373.6561716273259,-32.158559691941264,689.3075682192366,48
0.3,VolatilityHook,20000000000,-153.33122641487262,-361.61624297862363,139.02114250107115,48
0.3,VolatilityHook,80000000000,-231.28582273258598,-493.55341056482575,161.76954927716912,48
0.3,BAHook,5000000000,870.4747737112607,571.0605933811585,1475.196455621639,48
0.3,BAHook,20000000000,341.3622871528996,47.69567698382161,1488.3605612970205,48
0.3,BAHook,80000000000,-0.02205773264540767,-427.33602024588345,309.5957089542371,48
0.3,DAHook,5000000000,352.02857585635957,32.52299447158475,702.681260713769,48
0.3,DAHook,20000000000,6.96292627091816,-108.16375952283852,265.41832847264413,48
0.3,DAHook,80000000000,-249.02595233240527,-435.76576699910584,-127.13006571636652,48
0.3,ABHook,5000000000,-148.80270704563702,-231.19270451732518,-108.24493174492272,48
0.3,ABHook,20000000000,-373.21150494229096,-552.7305606893788,-320.8843947428313,48
0.3,ABHook,80000000000,-579.16249507463,-715.1745715983552,-392.99294568328787,48
0.3,MEVChargeHook,5000000000,-155.54730966793431,-448.0071148343086,223.50802839320068,48
0.3,MEVChargeHook,20000000000,-337.9993922878293,-549.4974262495107,359.1679474256721,48
0.3,MEVChargeHook,80000000000,-265.9053040301783,-698.9691689317533,168.50134523257566,48
1.0,VolatilityHook,5000000000,500.5453486795677,-156.88178741685988,979.8913156115814,48
1.0,VolatilityHook,20000000000,-494.7056645473749,-862.0822150560562,79.45400834911925,48
1.0,VolatilityHook,80000000000,-1729.768157869782,-2420.8879892982404,-952.5608911964555,48
1.0,BAHook,5000000000,1555.8201284083016,894.2121350385969,2500.602162318639,48
1.0,BAHook,20000000000,478.6524920121519,45.57560182148882,1341.7822322752436,48
1.0,BAHook,80000000000,-822.4249177633355,-1360.2737037764055,-144.73235870064673,48
1.0,DAHook,5000000000,237.42911563983216,-13.543351801763492,612.1855141115811,48
1.0,DAHook,20000000000,-291.3109030128526,-536.5606429544277,93.44151747484648,48
1.0,DAHook,80000000000,-618.5342442002566,-776.5275527180693,-528.6198499022294,48
1.0,ABHook,5000000000,-284.2512954247013,-365.9122091265126,-214.92237237897643,48
1.0,ABHook,20000000000,-766.1553355623328,-861.9925335783755,-508.22480213318704,48
1.0,ABHook,80000000000,-1138.581743809892,-1390.287222028368,-900.1271759563424,48
1.0,MEVChargeHook,5000000000,-1231.7182640522697,-2402.265319622711,-584.4602174234242,48
1.0,MEVChargeHook,20000000000,-1523.1923947086834,-2915.7428242906644,-246.0520373394611,48
1.0,MEVChargeHook,80000000000,-1919.0934158108503,-2527.8422807801853,-629.0246203502629,48
3.0,VolatilityHook,5000000000,-11.679068859637482,-276.3337314254277,531.3368794273265,48
3.0,VolatilityHook,20000000000,-1052.5056483300723,-1992.4350776869032,-254.72900660053347,48
3.0,VolatilityHook,80000000000,-2934.6009583799478,-4298.78713744651,-2239.7668000476842,48
3.0,BAHook,5000000000,1895.8462373789152,1138.190879619091,2693.4322267949174,48
3.0,BAHook,20000000000,1299.2725790985533,77.68827567005064,2718.078475093367,48
3.0,BAHook,80000000000,-781.1437558782818,-1564.1929281345656,-71.66236485584523,48
3.0,DAHook,5000000000,166.40066650121662,-467.0742469094839,634.212795585071,48
3.0,DAHook,20000000000,-358.8027168361641,-751.2916211684205,12.979040611899109,48
3.0,DAHook,80000000000,-1268.570765240136,-1545.9805111538444,-943.1336973075013,48
3.0,ABHook,5000000000,-403.81710735853267,-625.7176835132414,-234.29827597815165,48
3.0,ABHook,20000000000,-1106.9151277498531,-1298.9080368264404,-908.6778044652965,48
3.0,ABHook,80000000000,-1773.5554543881917,-2329.6613160573106,-1290.1294907664342,48
