minute,median,p25,p75,pair
106,6496.137784533587,2722.114393599838,14648.72389372575,ETH/SHIB
107,6427.5073323278075,2689.0066009149673,14391.53537298227,ETH/SHIB
108,6269.648094477171,2654.843218858163,14228.626813083452,ETH/SHIB
109,6159.5560673864475,2604.9408578016637,14037.900454714121,ETH/SHIB
110,6079.328496680759,2596.69868335798,13941.10863954601,ETH/SHIB
111,6035.9202523783315,2563.1928691725343,13895.755556640554,ETH/SHIB
112,5998.03366227735,2535.2174223239463,13839.01974521184,ETH/SHIB
113,5989.473493656113,2549.1714522838406,13848.550574333969,ETH/SHIB
114,5977.285932483569,2555.5397325987974,13879.335813821604,ETH/SHIB
115,5941.249393595247,2556.5781552839885,14013.43742803697,ETH/SHIB
116,5954.741205027684,2575.876185702768,14008.563326886479,ETH/SHIB
117,5931.190412830134,2561.0485241393485,14020.419563540903,ETH/SHIB
118,5864.835865765473,2556.6058395984337,13901.936567525507,ETH/SHIB
119,5846.545593143422,2570.7175193860685,13988.707186887654,ETH/SHIB
120,5841.462450584765,2532.824635109282,13984.113056124655,ETH/SHIB
121,5844.5646675646,2531.436538867606,14024.32922213083,ETH/SHIB
122,5894.573021705278,2566.844827157237,14083.683457006784,ETH/SHIB
123,6002.927840137639,2580.341016164423,14209.169435776004,ETH/SHIB
124,6035.202302101538,2608.6317690746027,14395.965144529955,ETH/SHIB
125,6093.397316821786,2594.4945788539485,14494.580782166118,ETH/SHIB
126,6150.912583133356,2614.171542248513,14506.012039584984,ETH/SHIB
127,6119.54569126638,2622.194012674167,14411.447196394518,ETH/SHIB
128,6079.9928741131125,2611.2953892852993,14424.936490899096,ETH/SHIB
129,6099.8692424976425,2613.553862457366,14445.641048743531,ETH/SHIB
130,6104.195631135436,2602.952364079448,14324.974530320238,ETH/SHIB
131,6040.649264208762,2575.4994294063076,14283.29763700825,ETH/SHIB
132,6017.60800512982,2544.118359377314,14144.629544269495,ETH/SHIB
133,5973.144401227935,2526.35374242984,14135.176388082184,ETH/SHIB
134,5997.106951102158,2511.284498456682,14062.512545130256,ETH/SHIB
135,5998.280624366705,2529.757382393952,13962.422607843748,ETH/SHIB
136,5977.485330745635,2510.372286786349,14023.553128907277,ETH/SHIB
137,5943.05768997157,2465.467192724105,13977.8335560475,ETH/SHIB
138,5853.432847959473,2450.2629507712686,13866.448927430762,ETH/SHIB
139,5808.213366310002,2424.137709836794,13806.620528562928,ETH/SHIB
140,5803.197141617289,2423.8781083549507,13810.481800013542,ETH/SHIB
141,5765.718419900392,2387.120578809028,13748.031536946537,ETH/SHIB
142,5779.8830404607015,2368.3490750077835,13864.805250219772,ETH/SHIB
143,5804.8017554058215,2328.5552394817632,13785.080601486561,ETH/SHIB
144,5790.5168559820695,2335.5006283934804,13773.260972517131,ETH/SHIB
145,5776.28675720788,2350.0476750202233,13762.799088784557,ETH/SHIB
146,5812.322955821713,2342.8256576930785,13746.820063964451,ETH/SHIB
147,5806.791062067231,2371.4167480592337,13816.661734826133,ETH/SHIB
148,5840.017682816907,2366.725304634473,13781.799637773429,ETH/SHIB
149,5790.208599613154,2353.233572730496,13733.972216664613,ETH/SHIB
150,5734.976364457341,2340.702545832668,13749.902334873092,ETH/SHIB
151,5737.117059214042,2361.299163794469,13769.350434082235,ETH/SHIB
152,5705.63358580389,2385.324074368537,13789.113004971987,ETH/SHIB
153,5730.043136756678,2388.3174570674623,13760.471035788532,ETH/SHIB
154,5799.6994908941515,2399.2362537708,13775.061168935428,ETH/SHIB
155,5770.144109858312,2414.5759343035384,13678.479535744355,ETH/SHIB
156,5762.352299780157,2419.1018464893627,13689.76687841025,ETH/SHIB
157,5759.095463809337,2419.726245818329,13663.521729358265,ETH/SHIB
158,5715.224460269863,2422.464477980732,13541.686048464242,ETH/SHIB
159,5684.083792649458,2398.2073959937575,13452.6302032382,ETH/SHIB
