trade_index,candle,price_indexed,fee_bps,fee_ab_bps,fee_ba_bps
187,527,1.014488542221275,22.0,37.0,23.0
188,528,1.0055756832207599,37.0,38.0,22.0
189,529,1.0027739532416187,38.0,39.0,21.0
190,536,1.0107798330221192,21.0,38.0,22.0
191,537,1.0160949171581017,22.0,37.0,23.0
192,541,1.0077415870793391,37.0,38.0,22.0
193,542,1.0037976521735343,38.0,39.0,21.0
194,545,0.9969929098075873,39.0,40.0,20.0
195,550,1.0048801749861898,20.0,39.0,21.0
196,551,1.0127271672530673,21.0,38.0,22.0
197,554,1.003725350521553,38.0,39.0,21.0
198,558,1.0149562076530119,21.0,38.0,22.0
199,559,1.0166889431593276,22.0,37.0,23.0
200,560,1.0201822673355316,23.0,36.0,24.0
201,562,1.009009987986283,36.0,37.0,23.0
202,563,1.0167414394523535,23.0,36.0,24.0
203,566,1.0078462142666922,36.0,37.0,23.0
204,571,1.019909709957136,23.0,36.0,24.0
205,572,1.0259896467496412,24.0,35.0,25.0
206,573,1.0337270152037867,25.0,34.0,26.0
207,581,1.0245685418631332,34.0,35.0,25.0
208,590,1.0420672065036216,25.0,34.0,26.0
209,591,1.0448956574104225,26.0,33.0,27.0
210,593,1.0532016907794735,27.0,32.0,28.0
211,596,1.0592855753754757,28.0,31.0,29.0
212,600,1.0455409967317335,31.0,32.0,28.0
213,603,1.0429563759226157,32.0,33.0,27.0
214,605,1.040616880490814,33.0,34.0,26.0
215,614,1.053253220481284,26.0,33.0,27.0
216,615,1.0426770519174642,33.0,34.0,26.0
217,616,1.038458453943642,34.0,35.0,25.0
218,627,1.0473389120019003,25.0,34.0,26.0
219,628,1.0500036314001486,26.0,33.0,27.0
220,630,1.039440633900854,33.0,34.0,26.0
221,631,1.036567707843142,34.0,35.0,25.0
222,636,1.0450307334178492,25.0,34.0,26.0
223,638,1.037075091174752,34.0,35.0,25.0
224,643,1.029763590493959,35.0,36.0,24.0
225,647,1.0384145142794945,24.0,35.0,25.0
226,648,1.04049758089261,25.0,34.0,26.0
227,653,1.042762986158577,26.0,33.0,27.0
228,654,1.0445938488880684,27.0,32.0,28.0
229,655,1.0488750010637122,28.0,31.0,29.0
230,660,1.059007205895584,29.0,30.0,30.0
231,663,1.061866400472389,30.0,29.0,31.0
232,665,1.0533381376863984,29.0,30.0,30.0
233,666,1.0505614513380992,30.0,31.0,29.0
234,670,1.0606252123906086,29.0,30.0,30.0
235,674,1.0506596359257707,30.0,31.0,29.0
236,676,1.0653915034346775,29.0,30.0,30.0
237,678,1.0514020527727224,30.0,31.0,29.0
238,679,1.0471074120444752,31.0,32.0,28.0
239,681,1.043862961966717,32.0,33.0,27.0
