policy,regime,gas_price_wei,valuation,median,ci_low,ci_high,n_windows
BAHook,mid,20000000000,net_result_delta,-138.7827235093764,-362.9634283593614,28.883003848863154,48
BAHook,mid,20000000000,net_result_tt_delta,-101.5654503364517,-292.1743758593452,17.737112835556218,48
BAHook,mid,80000000000,net_result_delta,-770.8734679654972,-930.2237959419886,-611.2948011889966,48
BAHook,mid,80000000000,net_result_tt_delta,-712.3926492822693,-834.4693980899792,-515.2217195243638,48
BAHook,low,5000000000,net_result_delta,7.497838473743741,-210.19698798885474,214.11437087796457,48
BAHook,low,5000000000,net_result_tt_delta,39.503791601327066,-109.41224816498834,174.1954082649827,48
BAHook,low,20000000000,net_result_delta,-214.3044728220343,-390.18696429059,-133.53690006804027,48
BAHook,low,20000000000,net_result_tt_delta,-128.5867393943907,-340.69402800336866,-56.476066969366,48
BAHook,low,80000000000,net_result_delta,-637.7264742264429,-803.8973136698605,-466.7137365157041,48
BAHook,low,80000000000,net_result_tt_delta,-511.9898001186938,-736.9394568408989,-392.0701853558826,48
DAHook,high,5000000000,net_result_delta,237.42911563983216,-13.543351801763492,612.1855141115811,48
DAHook,high,5000000000,net_result_tt_delta,329.97852840497035,147.5973227647819,617.2104919081667,48
DAHook,high,20000000000,net_result_delta,-291.3109030128526,-536.5606429544277,93.44151747484648,48
DAHook,high,20000000000,net_result_tt_delta,-234.70393611005056,-444.1747692788922,10.19199470269632,48
DAHook,high,80000000000,net_result_delta,-618.5342442002566,-776.5275527180693,-528.6198499022294,48
DAHook,high,80000000000,net_result_tt_delta,-703.3548080242954,-1062.9069626704168,-453.87502760438656,48
DAHook,mid,5000000000,net_result_delta,-26.077784596977835,-158.62371234255124,178.3430942133018,48
DAHook,mid,5000000000,net_result_tt_delta,73.27788894778314,-53.44206193357786,208.18484508490246,48
DAHook,mid,20000000000,net_result_delta,-322.80597662411856,-446.1072952832392,-194.45162065638215,48
DAHook,mid,20000000000,net_result_tt_delta,-258.25373585440684,-376.90713450717703,-135.19831274413355,48
DAHook,mid,80000000000,net_result_delta,-547.7870463965005,-668.2751111176167,-391.11844726137133,48
DAHook,mid,80000000000,net_result_tt_delta,-498.7368136660425,-619.6870168407145,-313.5325700985013,48
DAHook,low,5000000000,net_result_delta,-110.04377530290321,-156.96172853612916,-35.23851544003446,48
DAHook,low,5000000000,net_result_tt_delta,-18.944224235864567,-104.74380089496663,40.23492756259793,48
DAHook,low,20000000000,net_result_delta,-167.56587261925029,-224.87521421619658,-116.75882981733594,48
DAHook,low,20000000000,net_result_tt_delta,-157.71410655564773,-229.87575996751957,-124.57516877486523,48
DAHook,low,80000000000,net_result_delta,-356.7433777741212,-449.99758133216164,-294.69520222991423,48
DAHook,low,80000000000,net_result_tt_delta,-359.4924162752071,-452.2175674509217,-284.67562064694675,48
ABHook,high,5000000000,net_result_delta,-284.2512954247013,-365.9122091265126,-214.92237237897643,48
ABHook,high,5000000000,net_result_tt_delta,-283.65303046273766,-333.2548491121106,-189.21331118700618,48
ABHook,high,20000000000,net_result_delta,-766.1553355623328,-861.9925335783755,-508.22480213318704,48
ABHook,high,20000000000,net_result_tt_delta,-738.8894055358842,-906.1581818413251,-569.130804186474,48
ABHook,high,80000000000,net_result_delta,-1138.581743809892,-1390.287222028368,-900.1271759563424,48
ABHook,high,80000000000,net_result_tt_delta,-1059.346991438675,-1499.2545350841224,-882.5299532939789,48
ABHook,mid,5000000000,net_result_delta,-177.024539543826,-228.36772860678684,-120.73498208890305,48
ABHook,mid,5000000000,net_result_tt_delta,-167.82025348112074,-204.1122489630634,-118.4954266856339,48
ABHook,mid,20000000000,net_result_delta,-477.64147777704056,-600.3872935018953,-407.420920308381,48
ABHook,mid,20000000000,net_result_tt_delta,-473.2290623893841,-570.8779910983103,-395.5705105045263,48
ABHook,mid,80000000000,net_result_delta,-669.571791184017,-904.7640394172713,-485.80313847717116,48
ABHook,mid,80000000000,net_result_tt_delta,-664.1136641843491,-970.5576313128113,-463.71163279015195,48
ABHook,low,5000000000,net_result_delta,-148.0304712472407,-196.6199342194668,-126.17142914849319,48
ABHook,low,5000000000,net_result_tt_delta,-146.93303227125762,-199.745808570211,-120.07377665251079,48
ABHook,low,20000000000,net_result_delta,-383.567563253064,-437.53659070098365,-308.2354899901093,48
ABHook,low,20000000000,net_result_tt_delta,-371.2951104715107,-420.7215137409494,-297.7888469263089,48
ABHook,low,80000000000,net_result_delta,-523.0638393612869,-609.8688097422687,-407.3781115200568,48
ABHook,low,80000000000,net_result_tt_delta,-507.6038829192132,-569.9229244026469,-398.7249628638965,48
MEVChargeHook,high,5000000000,net_result_delta,-1231.7182640522697,-2402.265319622711,-584.4602174234242,48
MEVChargeHook,high,5000000000,net_result_tt_delta,-1156.6878146710224,-2070.6133676014433,-179.2422182912851,48
MEVChargeHook,high,20000000000,net_result_delta,-1523.1923947086834,-2915.7428242906644,-246.0520373394611,48
MEVChargeHook,high,20000000000,net_result_tt_delta,-1416.027979760679,-2720.040587494773,-382.53875675973177,48
MEVChargeHook,high,80000000000,net_result_delta,-1919.0934158108503,-2527.8422807801853,-629.0246203502629,48
MEVChargeHook,high,80000000000,net_result_tt_delta,-1164.000000469759,-2503.3021701569487,-288.7726149996197,48
MEVChargeHook,mid,5000000000,net_result_delta,-1001.4347294388122,-1376.6548191377442,-772.7486582054489,48
