policy,regime,gas_price_wei,valuation,median,ci_low,ci_high,n_windows
BAHook,low,5000000000,net_result_tt_delta,229.91793498799234,13.440160408666998,810.6911681439633,48
BAHook,low,20000000000,net_result_delta,-400.10840065431876,-648.3709265406214,-80.9034574844336,48
BAHook,low,20000000000,net_result_tt_delta,-149.00100894082243,-480.65543676375546,102.60193408332634,48
BAHook,low,80000000000,net_result_delta,-1382.755420621339,-1674.9568326164735,-972.3226515977303,48
BAHook,low,80000000000,net_result_tt_delta,-1171.6022559785279,-1537.980448986018,-847.6418448084266,48
DAHook,high,5000000000,net_result_delta,166.40066650121662,-467.0742469094839,634.212795585071,48
DAHook,high,5000000000,net_result_tt_delta,127.79172784541151,-206.52514278564195,668.8467947322861,48
DAHook,high,20000000000,net_result_delta,-358.8027168361641,-751.2916211684205,12.979040611899109,48
DAHook,high,20000000000,net_result_tt_delta,-444.67207763262013,-708.9721318655065,278.62559506962134,48
DAHook,high,80000000000,net_result_delta,-1268.570765240136,-1545.9805111538444,-943.1336973075013,48
DAHook,high,80000000000,net_result_tt_delta,-1162.0761766089586,-1596.911305174548,-837.592319982301,48
DAHook,mid,5000000000,net_result_delta,51.454245605089454,-360.4623149597901,238.34969802605156,48
DAHook,mid,5000000000,net_result_tt_delta,123.41075230720526,-222.73973538533755,307.3558135185285,48
DAHook,mid,20000000000,net_result_delta,-317.6226724367716,-618.1586482003668,-174.66772982362454,48
DAHook,mid,20000000000,net_result_tt_delta,-303.61251394328065,-514.1754292000114,-153.66684649777744,48
DAHook,mid,80000000000,net_result_delta,-1135.9167023312784,-1486.3142044449633,-858.7117982408054,48
DAHook,mid,80000000000,net_result_tt_delta,-1115.8854930601137,-1437.3617111093954,-756.268331734931,48
DAHook,low,5000000000,net_result_delta,-119.1364196794766,-239.3973489663913,55.77588342141826,48
DAHook,low,5000000000,net_result_tt_delta,-105.20200767820279,-199.30909500199232,62.9189977697406,48
DAHook,low,20000000000,net_result_delta,-468.22218094521577,-664.0086778737041,-236.61036945697924,48
DAHook,low,20000000000,net_result_tt_delta,-360.7581574218566,-552.7972408526948,-233.57779003526957,48
DAHook,low,80000000000,net_result_delta,-869.9350757070729,-1089.6282896326265,-618.3903112943226,48
DAHook,low,80000000000,net_result_tt_delta,-819.6984070257267,-1078.4442412050666,-567.2292683000846,48
ABHook,high,5000000000,net_result_delta,-403.81710735853267,-625.7176835132414,-234.29827597815165,48
