minute,kappa_3_usdt_per_min,kappa_1_usdt_per_min,kappa_0.3_usdt_per_min,kappa_0.1_usdt_per_min,kappa_0.03_usdt_per_min
156,35763.27076736708,11921.090255789028,3576.327076736708,1192.1090255789027,357.63270767367084
157,35997.61582358351,11999.205274527836,3599.761582358351,1199.9205274527837,359.9761582358351
158,36201.236653749234,12067.078884583078,3620.1236653749233,1206.7078884583077,362.0123665374923
159,36501.29032661184,12167.096775537279,3650.1290326611834,1216.7096775537277,365.01290326611837
160,36769.69401449764,12256.564671499213,3676.9694014497636,1225.6564671499214,367.6969401449764
161,36318.547583582156,12106.18252786072,3631.854758358216,1210.618252786072,363.1854758358216
162,36255.79123778587,12085.263745928623,3625.579123778587,1208.5263745928623,362.5579123778587
163,35822.14750142923,11940.715833809743,3582.2147501429226,1194.0715833809743,358.2214750142923
164,35290.14994969105,11763.383316563682,3529.014994969105,1176.3383316563682,352.90149949691045
165,35100.75989826738,11700.25329942246,3510.075989826738,1170.025329942246,351.00759898267376
166,34621.0885531727,11540.362851057567,3462.10885531727,1154.0362851057566,346.210885531727
167,34251.41111072842,11417.137036909473,3425.141111072842,1141.7137036909473,342.5141111072842
168,33948.39666779373,11316.13222259791,3394.8396667793727,1131.613222259791,339.4839666779373
169,33584.72313229619,11194.907710765396,3358.4723132296185,1119.4907710765394,335.8472313229619
170,33270.233800889764,11090.077933629922,3327.023380088977,1109.0077933629923,332.7023380088977
171,33493.91688244237,11164.638960814122,3349.391688244237,1116.4638960814123,334.9391688244237
172,33504.23519735051,11168.078399116837,3350.423519735051,1116.8078399116837,335.0423519735051
173,33778.93926438661,11259.646421462203,3377.893926438661,1125.9646421462203,337.78939264386605
174,33964.57196573276,11321.523988577586,3396.457196573276,1132.1523988577587,339.6457196573276
175,34463.74735031466,11487.91578343822,3446.374735031466,1148.791578343822,344.63747350314657
176,34269.43911407066,11423.146371356886,3426.9439114070656,1142.3146371356886,342.69439114070656
177,34283.80710681125,11427.935702270415,3428.380710681125,1142.7935702270415,342.83807106811247
178,34030.58598153196,11343.528660510654,3403.0585981531963,1134.3528660510653,340.30585981531965
179,33920.01081934246,11306.670273114154,3392.001081934246,1130.6670273114155,339.2001081934246
180,33726.47613723895,11242.158712412984,3372.647613723895,1124.2158712412984,337.2647613723895
181,33772.180657437915,11257.393552479303,3377.218065743791,1125.7393552479305,337.7218065743791
182,33610.71160389764,11203.570534632547,3361.071160389764,1120.3570534632547,336.1071160389764
183,33507.31186238647,11169.103954128825,3350.7311862386473,1116.9103954128823,335.07311862386473
184,33595.99965762862,11198.666552542874,3359.599965762862,1119.8666552542875,335.95999657628624
185,33361.4045917287,11120.468197242899,3336.1404591728697,1112.04681972429,333.614045917287
186,33646.45135292017,11215.483784306723,3364.645135292017,1121.5483784306725,336.4645135292017
187,33853.25176506591,11284.41725502197,3385.3251765065907,1128.441725502197,338.5325176506591
188,34198.93183573889,11399.643945246296,3419.8931835738886,1139.9643945246296,341.98931835738887
189,34484.827474189224,11494.942491396409,3448.4827474189224,1149.4942491396407,344.8482747418922
190,35041.858835792234,11680.619611930746,3504.1858835792236,1168.0619611930745,350.4185883579224
