trade_index,candle,price_indexed,fee_bps,fee_ab_bps,fee_ba_bps
399,899,1.1119630811772325,17.74,8.86,8.86
400,900,1.1057814782203048,19.03,9.53,9.53
401,905,1.1025204107787192,24.35,12.2,12.2
402,907,1.1112170856089618,27.02,13.5,13.5
403,910,1.10256751267098,25.6,12.83,12.83
404,916,1.0984886884296425,31.44,15.76,15.76
405,921,1.1067268048626822,21.56,10.77,10.77
406,926,1.098314491508433,27.43,13.75,13.75
407,930,1.0972857321440128,18.45,9.24,9.24
408,938,1.1051885057584523,26.57,13.28,13.28
409,942,1.1062230895927716,17.94,8.96,8.96
410,944,1.1085031057206869,19.23,9.61,9.61
411,949,1.1111448587771031,21.47,10.73,10.73
412,954,1.1048129976150078,17.85,8.94,8.94
413,960,1.1005106339081547,28.52,14.3,14.3
414,962,1.094139521412973,43.49,21.83,21.83
415,963,1.0788228658262293,93.13,47.0,47.0
416,964,1.0798590944854305,42.15,21.16,21.16
417,966,1.0801998683078768,19.58,9.8,9.8
418,967,1.0749771959763537,34.14,17.12,17.12
419,968,1.0683005385627022,48.48,24.35,24.35
420,969,1.0691572378888825,20.33,10.18,10.18
421,971,1.0587975487807633,59.2,29.77,29.77
422,972,1.0570090139196344,38.28,19.21,19.21
423,975,1.0684259561187681,34.42,17.2,17.2
424,976,1.0736153757489437,41.29,20.64,20.64
425,977,1.0744308780323886,24.42,12.2,12.2
426,978,1.0759798021786295,19.39,9.69,9.69
427,990,1.0842926748688668,47.95,23.97,23.97
428,991,1.0859011300338763,31.34,15.66,15.66
429,992,1.0893443989397018,31.42,15.7,15.7
430,994,1.0906518444530884,21.68,10.83,10.83
431,995,1.0940786791982282,26.46,13.22,13.22
432,1009,1.0770815054716498,65.46,32.94,32.94
433,1010,1.07580495812832,38.91,19.53,19.53
434,1013,1.0761309560446182,18.01,9.02,9.02
435,1025,1.083636382091128,25.67,12.83,12.83
436,1026,1.0860472492346425,23.9,11.94,11.94
437,1027,1.0873036135129743,17.71,8.85,8.85
438,1028,1.0897174504520086,19.91,9.95,9.95
439,1029,1.0915552893109937,18.35,9.17,9.17
440,1035,1.0836638531682323,27.16,13.61,13.61
441,1037,1.093782311886184,32.76,16.37,16.37
442,1041,1.0971047499336672,31.47,15.73,15.73
443,1042,1.0977007852758596,18.44,9.21,9.21
444,1046,1.0917859055007009,17.81,8.92,8.92
445,1051,1.0994816302976604,26.13,13.06,13.06
446,1052,1.0921369495701643,20.47,10.25,10.25
447,1053,1.0860995516923724,38.1,19.12,19.12
448,1055,1.0863105654048548,18.14,9.08,9.08
449,1058,1.0940763048887974,26.46,13.22,13.22
450,1059,1.095206019611949,18.37,9.18,9.18
451,1060,1.0978254949024573,21.09,10.54,10.54
452,1064,1.1023507989651389,31.02,15.5,15.5
453,1070,1.0947945438702293,18.89,9.46,9.46
454,1071,1.0901248518777094,30.92,15.5,15.5
455,1079,1.0986286986424134,23.31,11.65,11.65
456,1080,1.0876697940893392,38.6,19.37,19.37
457,1081,1.0966082684886764,21.53,10.76,10.76
458,1082,1.0879720716387424,28.83,14.45,14.45
459,1086,1.0957313081548796,21.05,10.52,10.52
